id,average_rating
2533958,3.62
16071790,3.8
13825165,3.55
18061,4.24
3766428,4.33
11738128,4.12
22896551,3.87
7494,4.17
8504554,4.66
7796735,3.97
11890,3.76
36489672,3.93
78427,4.28
11281852,4.41
105550,4.48
1111016,4.06
258340,4.08
21539243,5.0
287655,3.54
4947431,4.84
44798557,5.0
8547530,4.26
272595,4.1
29772079,3.82
1345107,3.69
17297487,3.91
19547856,4.3
20257447,3.08
157801,4.15
22127812,4.23
22816028,4.04
18607805,3.72
77161,4.03
8312889,3.92
205134,4.32
8044557,4.2
731473,4.14
499749,3.9
6534,4.02
59963,4.6
200363,3.9
10538,3.94
89377,3.99
23664726,3.9
1824201,4.07
1611810,4.25
13176565,3.5
1307000,3.8
10463536,4.12
987507,3.59
22608373,4.29
359620,4.07
11682486,3.79
10577,3.6
388018,3.72
10518423,3.89
29731650,5.0
782614,3.7
625649,4.36
34750645,4.88
452244,3.89
12987127,3.73
343566,4.21
24909485,3.92
10365210,4.22
16036975,4.14
1480838,3.94
2514258,4.29
14387287,5.0
1740282,3.87
24971510,4.58
50088631,4.24
23153351,4.18
6407014,4.04
2773722,4.31
20890479,4.05
9475197,4.02
15763039,4.14
5999817,3.74
109510,3.99
13067,3.88
413491,3.65
18519955,4.77
12962345,3.81
110397,4.02
6290336,4.2
18224520,3.96
20818650,4.22
24769,3.85
2808554,4.13
5997878,4.36
775987,4.1
19586,3.95
980468,3.87
28243032,3.96
797165,4.01
28442819,4.14
17286807,3.98
40465,3.93
8025911,3.66
16249388,4.18
226709,3.82
8385294,3.94
11815016,3.66
112879,4.27
2123617,4.05
35060774,4.17
18222743,3.94
5289,4.48
435045,4.37
15702297,3.33
27188596,3.88
243427,4.56
20013762,4.72
91480,4.21
7844543,4.2
12938,3.91
35513821,4.06
12754069,4.27
300017,3.7
37387,3.79
7455044,3.69
630289,4.65
15847757,4.36
20419910,4.52
269362,3.91
257233,3.96
181396,3.97
9278963,3.74
33606119,4.44
179391,3.99
3955551,4.18
367333,3.96
159764,4.03
131525,3.69
244524,4.51
27917596,4.44
918853,4.19
12924307,3.99
2634829,3.36
417524,4.13
21518679,4.28
12935254,2.89
16045144,4.19
6713808,3.73
29641,3.93
25798713,4.0
18804249,4.03
19082,4.43
40261,3.66
56728,4.47
11660590,3.44
147146,3.81
13106674,4.17
37805207,4.13
128453,4.43
741238,3.82
10433900,3.93
17212972,3.75
33016249,4.35
94672,4.0
16281720,4.0
12388631,3.53
9248826,4.38
6966343,4.27
2249507,4.25
34466963,4.42
125958,3.8
38617771,4.17
41945163,3.91
1908372,3.92
29607136,4.17
93269,3.96
108315,3.95
294937,3.75
11702,4.15
12555973,3.99
9570,3.98
7281589,5.0
452235,4.07
42405120,4.42
505558,4.33
210196,3.89
2041234,4.31
12777554,3.27
17164401,4.28
59097,4.31
20530956,4.19
456057,3.94
29123006,4.5
17337562,4.23
8329929,3.53
6981,4.14
30332,3.87
6426,3.68
77555,4.17
7744219,4.01
67375,4.49
13184992,4.54
18949637,4.66
927244,3.63
7114761,3.73
18161265,4.01
20912424,4.51
1223288,4.28
631097,3.87
129237,3.94
45033,3.85
688133,4.11
6681613,3.39
10946420,3.65
1017384,4.35
482021,4.1
9515964,4.24
45021777,4.09
29358,4.01
18657122,3.7
25237928,4.09
100480,4.13
9305362,3.88
4566128,4.01
63818,3.89
284352,4.0
94039,4.03
941852,3.7
774964,3.37
641550,4.07
166430,4.49
9917879,4.11
669852,4.21
15830337,5.0
25838513,4.3
9166877,3.8
39962976,4.04
21045814,3.9
15831624,3.79
2622893,4.27
42643696,5.0
13013083,3.92
13831122,3.58
146109,4.27
107023,4.24
13633766,3.98
38501,4.14
7766064,3.67
82780,3.91
22564139,3.52
23240336,3.67
21897095,3.68
18713128,3.9
594852,3.98
18068668,3.79
362413,4.45
41757,4.14
78971,3.78
244572,3.97
9758765,3.73
4485,3.87
4134071,3.93
18168527,3.84
43897101,3.56
6590497,3.82
16250908,4.17
7188088,4.23
1809175,3.96
20640467,4.2
11490059,3.5
11459216,4.18
396647,3.81
225850,4.17
2880715,4.32
1000724,4.28
38876,4.36
18143768,3.88
39884337,4.3
587582,4.14
15735090,4.41
11765920,4.1
105576,3.43
156785,4.13
49540,4.07
69413,3.98
23380999,4.32
1425260,4.31
817168,3.79
2389174,4.26
25312405,4.26
18924775,3.49
12786675,3.78
12359912,4.0
41334,4.22
23317538,4.25
15818527,4.21
7933814,4.01
653283,3.77
569429,3.98
408,3.64
446279,3.78
643301,4.23
12976689,4.31
11633124,3.77
2533529,3.93
3084704,4.54
17221418,4.36
819487,3.84
38451700,4.25
293974,4.11
9625753,4.04
137800,4.25
11157892,3.93
28503853,4.23
16246625,4.3
18214458,3.7
23587617,5.0
881346,4.09
17255265,4.4
9273616,4.21
3280430,4.18
268559,3.84
121648,4.0
563452,3.85
19504319,4.1
17469800,3.78
590125,4.15
119333,4.23
8926934,4.01
38030,3.98
15808728,3.77
619889,3.66
7745,4.08
450550,4.6
20564399,4.3
13580618,4.19
43521136,3.83
48757,3.99
9525402,4.14
466523,4.29
7686395,4.17
458034,4.32
8785374,4.16
17157183,3.38
22007695,4.38
20930130,3.33
1198700,4.41
309780,3.87
26352855,4.11
10836471,3.7
32148570,4.38
6386792,4.22
27567960,4.29
25935780,5.0
177230,3.99
1455289,3.27
621461,3.78
7248435,3.82
18176624,4.65
8173649,4.0
7150905,3.92
16217729,4.28
17155770,3.7
18143772,3.64
14530022,5.0
398323,3.81
231821,4.17
51490125,3.95
6240758,3.76
24762394,3.86
25961617,3.63
78392,3.05
3181986,4.08
1426764,4.07
201874,3.75
415463,3.75
263875,3.74
9728761,4.06
6971201,3.87
2319370,4.0
36004,3.34
1132805,3.61
5099958,4.11
16277251,4.26
17465443,4.06
28588568,3.14
60222,3.94
31450846,4.73
19598707,3.84
511115,3.84
43419775,3.85
659759,4.27
11196970,3.6
70535,4.15
8650,3.78
8504556,3.78
883235,4.03
35969545,4.5
16593375,3.87
6605722,3.82
34413706,4.16
3851330,3.45
28078,3.81
108932,4.35
477779,4.35
23357071,4.2
15829871,3.77
6271800,3.51
24529123,3.68
1290757,3.84
32439,4.04
17452115,4.0
17991040,4.5
2774428,4.06
2169898,4.21
11468322,3.97
12833828,3.9
9745711,3.25
29241321,4.34
18658637,4.23
536062,3.35
20758758,4.0
29475447,4.33
1311496,3.89
9635495,4.22
10538422,4.0
20452491,3.46
6413713,4.13
46349,3.81
15889822,4.17
6760780,3.88
12602408,4.14
80738,3.98
35557661,4.28
686306,3.93
11345170,3.67
29346870,3.96
40482,4.11
7997149,4.24
7199829,4.18
1321861,4.57
3767279,3.97
17949010,4.1
9461562,3.96
334818,4.46
1724928,4.44
5072077,4.16
18739444,3.91
6945037,4.02
3110969,3.9
1130000,3.96
6420922,4.16
6038030,4.92
15811568,3.82
2195309,4.13
11175115,4.01
1030905,4.37
3277222,4.15
40822441,4.48
684507,4.47
9578336,4.04
16152079,3.31
7001018,3.81
30226698,4.36
219164,4.1
1611656,4.32
6449448,3.39
19145978,4.14
7401958,4.7
18012909,3.91
20690722,4.83
308732,4.11
1268479,4.27
22842297,4.13
6098691,4.05
323944,3.71
8953,4.01
37647561,4.16
14059726,3.85
984840,4.14
23534,4.13
10903062,4.25
13183957,4.15
521212,3.72
28800321,4.0
38109136,4.4
8225495,3.43
13124125,3.99
10959,3.93
24644767,5.0
10426130,3.75
7837757,5.0
1008335,4.1
236093,3.99
301822,3.99
14419025,4.0
20821386,3.98
169878,3.67
137670,3.9
23650217,3.7
237815,4.15
6443321,3.81
20405520,4.02
20567018,3.13
50466,4.07
420324,3.72
18580,3.68
7821928,4.25
15777283,4.02
8062894,4.28
17830225,4.33
92508,3.8
25716705,3.85
15843186,3.66
2005841,4.46
10383217,4.29
13423215,3.44
6567284,4.25
8248617,3.75
4294292,3.84
34536956,4.33
40390755,4.04
11515955,3.6
19777989,3.78
7821447,3.99
12180204,3.81
41128030,3.86
598117,3.97
428108,3.94
957379,3.92
9411628,3.96
20909906,3.84
549938,3.44
26947746,2.33
49377095,5.0
6202589,4.09
8525631,4.01
23440143,4.05
201345,4.15
25266817,3.97
6534932,3.79
17332556,3.91
23236080,4.27
14739062,4.18
732595,3.66
82896,3.65
51897150,5.0
2155422,4.27
13551907,3.1
6670514,3.92
18465550,4.07
25361297,3.0
22266042,3.97
1689454,3.83
36043601,4.29
6654104,4.11
28763,4.12
22231395,3.71
